filename,category,product_name,channels_used,status,resolution,timestamp,filepath
ir38_solar_component.png,channels,IR 3.8 µm Daytime Solar Component Proxy,ir_38,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\ir38_solar_component.png
ir105_bt_grayscale.png,channels,IR 10.5 µm Brightness Temperature Standard Map,ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\ir105_bt_grayscale.png
ir105_met_rainbow.png,channels,IR 10.5 µm Meteorological Thermal Rainbow Map,ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\ir105_met_rainbow.png
ir105_deep_convection.png,channels,IR 10.5 µm Severe Storm Cold Top Highlight (<220K),ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\ir105_deep_convection.png
ir105_staged_thresholds.png,channels,IR 10.5 µm Staged Cloud Top BT Bands,ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\ir105_staged_thresholds.png
nir22_ice_water_discrim.png,channels,NIR 2.2 µm Ice vs Water Cloud Discrimination,nir_22,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\nir22_ice_water_discrim.png
rgb_natural_color.png,rgb_composites,Natural Color RGB Composite,nir_22+vis_06,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_natural_color.png
rgb_day_microphysics_fci.png,rgb_composites,Day Microphysics FCI RGB Composite,vis_06+nir_22+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_day_microphysics_fci.png
rgb_night_microphysics_proxy.png,rgb_composites,Night Microphysics Proxy RGB Composite,ir_38+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_night_microphysics_proxy.png
rgb_fog_low_cloud_day.png,rgb_composites,Daytime Fog & Low Cloud RGB Composite,vis_06+nir_22+ir_38,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_fog_low_cloud_day.png
rgb_fog_low_cloud_night.png,rgb_composites,Nighttime Fog & Low Cloud RGB Composite,ir_38+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_fog_low_cloud_night.png
rgb_day_solar_ice.png,rgb_composites,Day Solar Ice Cloud RGB Composite,vis_06+nir_22+ir_38,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_day_solar_ice.png
rgb_convection_proxy.png,rgb_composites,Severe Convection Proxy RGB Composite,vis_06+ir_105+ir_38,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_convection_proxy.png
rgb_snow_ice_discriminator.png,rgb_composites,Snow & Ice Discriminator RGB Composite,vis_06+nir_22+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_snow_ice_discriminator.png
rgb_ir_sandwich_blended.png,rgb_composites,IR Sandwich Blended Convective Composite,vis_06+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_ir_sandwich_blended.png
rgb_land_vegetation.png,rgb_composites,Daytime Land & Surface Reflection RGB,nir_22+vis_06,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_land_vegetation.png
rgb_cloud_phase_distinction.png,rgb_composites,Cloud Phase Distinction RGB Composite,vis_06+nir_22+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_cloud_phase_distinction.png
rgb_fcir_false_color.png,rgb_composites,False Color Infrared (FCIR) Proxy RGB,nir_22+vis_06,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_fcir_false_color.png
rgb_thermal_anomaly.png,rgb_composites,Fire & Thermal Anomaly RGB Composite,ir_38+nir_22+vis_06,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_thermal_anomaly.png
rgb_thermal_contrast.png,rgb_composites,Multi-Band Thermal Contrast RGB Composite,ir_38+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_thermal_contrast.png
rgb_overview_dynamic.png,rgb_composites,Wide Dynamic Range Overview RGB Composite,vis_06+nir_22+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,rgb_composites\rgb_overview_dynamic.png
diff_ir38_ir105_split_window.png,derived_products,Shortwave Split-Window Difference (IR3.8 − IR10.5),ir_38+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\diff_ir38_ir105_split_window.png
index_ndvi_proxy.png,derived_products,Normalized Difference Vegetation Index (NDVI Proxy),nir_22+vis_06,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\index_ndvi_proxy.png
index_ndsi_proxy.png,derived_products,Normalized Difference Snow Index (NDSI Proxy),vis_06+nir_22,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\index_ndsi_proxy.png
mask_cloud_binary.png,derived_products,Cloud / Clear-Sky Binary Segmentation Mask (Proxy),vis_06+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\mask_cloud_binary.png
proxy_cloud_top_height.png,derived_products,Cloud Top Height Proxy Map (Lapse Rate Model),ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\proxy_cloud_top_height.png
mask_deep_convective_cores.png,derived_products,Deep Convective Storm Core Mask (<210K / -63°C),ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\mask_deep_convective_cores.png
index_thermal_fire_anomaly.png,derived_products,Fire & Hotspot Thermal Anomaly Index Map,ir_38+ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\index_thermal_fire_anomaly.png
proxy_sunglint_marine.png,derived_products,Sun Glint & Marine Optical Reflection Proxy Map,vis_06+nir_22,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\proxy_sunglint_marine.png
proxy_optical_depth.png,derived_products,Cloud Optical Depth & Particle Scattering Proxy,vis_06+nir_22,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\proxy_optical_depth.png
temporal_ir105_change.png,derived_products,Multi-Temporal Cloud Top BT Change (Cycle 0052 − 0071),ir_105,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\temporal_ir105_change.png
temporal_vis06_change.png,derived_products,Multi-Temporal VIS Reflectance Change (Cycle 0052 − 0071),vis_06,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,derived_products\temporal_vis06_change.png
